cell,mean_f
0,101.09947500000001
1,117.76701249999999
2,114.02821250000002
3,82.15303750000001
4,110.49865
5,409.3996125
6,321.66983749999997
7,189.8456625
8,596.3864875
9,129.1087125
10,225.2080375
11,80.1769125
12,97.32014999999998
13,1841.2056375
14,109.98432499999998
15,70.83488750000001
16,104.053475
17,90.3228625
18,90.53648749999999
19,56.918612499999995
20,88.4689625
21,72.686175
22,53.262975000000004
23,52.769075
24,87.34548749999999
25,199.2969
26,1092.3112875000002
27,201.42531250000002
28,115.5372875
29,168.57636250000002
30,310.5144375
31,60.92294999999999
32,60.31183749999999
33,61.95194999999999
34,103.38318749999999
35,201.4219625
36,441.36182499999995
37,426.8389875
38,394.32699999999994
39,949.0114874999999
40,647.85645
41,624.0191375
42,820.0441500000001
43,236.72768749999994
44,281.53575
45,1150.9409125000002
46,527.5068
47,118.08035
48,251.34605000000002
49,99.57492500000001
50,317.74323749999996
51,299.98627500000003
52,268.7210375
53,61.5552
54,303.9281625
55,3497.7637375
56,808.9032249999999
57,371.62861250000003
58,2948.4299
59,2888.9006625
60,533.9324624999999
61,524.8599875
62,750.4703000000001
63,467.1507874999999
64,431.8028249999999
65,225.38725000000005
66,340.8586875
67,171.1138
68,496.31487500000003
69,278.7937
70,126.09405
71,611.9293125
72,320.43575
73,192.24001249999998
74,704.54845
75,379.4133
76,321.3791625
77,55.077312500000005
78,117.32860000000001
79,158.4451125
80,692.3707999999999
81,223.83937500000002
82,269.2561375
83,180.69016249999999
84,179.3297
85,129.97337500000003
86,188.48795
87,137.41042499999998
88,343.51795000000004
89,70.9414125
90,255.2228125
91,112.4776625
92,63.93587500000001
93,78.9934125
94,81.2474
95,736.6564000000001
96,83.08695000000002
97,78.459
98,76.73972499999999
99,46.8698375
100,84.92162499999999
101,70.7890625
102,101.99179999999998
103,645.1739125
104,132.89125
105,368.80129999999997
106,1336.282525
107,260.2482875
108,168.835875
109,145.030625
110,623.95175
111,91.19210000000001
112,149.14781250000001
113,151.9569875
114,169.4545
115,711.8913749999999
116,407.4276
117,228.471025
118,160.63697499999998
119,336.28594999999996
120,253.3803625
121,235.2183625
122,212.83012499999995
123,448.8499250000001
124,194.65461249999998
125,324.1716875
126,162.6667
127,2217.3354750000003
128,494.483425
129,309.8955625
130,64.2204375
131,289.48006250000003
132,383.2125
133,381.70169999999996
134,151.85107499999998
135,141.1527
136,92.8205375
137,145.77362499999998
138,103.3453
139,97.4871375
140,101.19416249999999
141,62.0761875
142,53.19691250000001
143,127.90186250000002
144,126.47669999999998
145,94.825975
146,97.27023750000001
147,212.0244875
148,159.778125
149,117.71989999999998
150,84.187675
151,88.89925000000001
152,147.7773625
153,133.55335
154,201.0942875
155,182.46599999999998
156,391.4449875
157,267.997625
158,180.5286
159,515.6216999999999
160,374.3980625
161,348.5469
162,333.8683625
163,251.06947500000007
164,313.8580875
165,491.49879999999996
166,168.91275000000002
167,175.6297125
168,365.4357
169,1061.06105
170,695.3268249999999
171,249.83845000000002
172,138.5813625
173,476.2054
174,109.0233625
175,121.46525000000001
176,171.4488125
177,228.037325
178,329.88227500000005
179,353.9317875
180,728.7507874999999
181,499.82482500000003
182,223.43433750000003
183,69.4315875
184,45.455600000000004
185,116.52573750000002
186,136.7802375
187,151.71735
188,587.5685125
189,551.83285
190,3320.3678
191,463.51959999999997
192,270.0067625
193,362.77761250000003
194,459.708525
195,221.90959999999995
196,879.0554625000001
197,380.494425
198,163.6339125
199,261.401725
200,245.61234999999996
201,234.41478749999996
202,151.2457375
203,73.14265
204,145.4682625
205,50.683600000000006
206,81.3779625
207,155.8341625
208,230.02551250000002
209,1493.9262125
210,209.3509
211,57.090175
212,32.5882625
213,30.594325000000005
214,47.03283750000001
215,92.9838
216,47.0412375
217,132.373025
218,29.047087499999996
219,45.548925
220,46.8774
221,53.876875
222,66.379425
223,32.636225
224,98.2843625
225,35.638887499999996
226,88.863675
227,43.2427625
228,24.18605
229,12.771112500000001
230,52.42370000000001
231,80.70183750000001
232,31.313850000000002
233,39.8653125
234,46.1936
235,56.02896250000001
236,90.39427500000001
237,106.94402500000001
238,367.1728875
239,270.9533
240,269.9848375
241,286.04595
242,158.187325
243,226.72522500000005
244,2867.1444
245,670.4860124999999
246,694.0229750000001
247,219.61062500000003
248,646.6326999999999
249,591.3027374999999
250,944.9502874999998
251,759.2685125
252,926.1095249999998
253,287.24746250000004
254,679.9185875000001
255,409.76823750000005
256,114.74212499999999
257,145.28465
258,171.6667875
259,271.8846625
260,344.95295000000004
261,1256.1911875
262,1808.1411500000002
263,251.57951249999996
264,571.5309625000001
265,330.60053750000003
266,276.731025
267,377.15497500000004
268,61.174225000000014
269,74.84427500000001
270,664.8190625
271,578.439225
272,202.301125
273,45.2856625
274,36.1266125
275,23.055349999999997
276,70.308175
277,1294.497625
278,592.2331125000001
279,857.0974749999999
280,82.20713750000002
281,2316.98745
282,34.0705375
283,154.1779375
284,883.5837374999999
285,854.0004124999999
286,441.1725625
287,444.9530000000001
288,257.755875
289,133.9604625
290,242.18427499999999
291,211.4415375
292,197.04908749999998
293,656.0496125
294,960.2751875000001
295,449.6092375
296,211.0329625
297,397.0718
298,308.91686250000004
299,212.51727499999998
300,302.6325375
