City	Edition	Sport	Discipline	Athlete	Gender	Event	Event_gender	Medal	Country
Athens	1896	Aquatics	Swimming	HAJOS, Alfred	Men	100m freestyle	M	Gold	Hungary
Athens	1896	Aquatics	Swimming	HAJOS, Alfred	Men	1200m freestyle	M	Gold	Hungary
Athens	1896	Athletics	Athletics	SZOKOLYI, Alajos	Men	100m	M	Bronze	Hungary
Athens	1896	Athletics	Athletics	DANI, Nandor	Men	800m	M	Silver	Hungary
Athens	1896	Athletics	Athletics	KELLNER, Gyula	Men	marathon	M	Bronze	Hungary
Athens	1896	Tennis	Tennis	TAPAVICZA, Momcsillo	Men	singles	M	Bronze	Hungary
Paris	1900	Aquatics	Swimming	HALMAY, Zoltan	Men	1500m freestyle	M	Bronze	Hungary
Paris	1900	Aquatics	Swimming	HALMAY, Zoltan	Men	200m freestyle	M	Silver	Hungary
Paris	1900	Aquatics	Swimming	HALMAY, Zoltan	Men	4000m freestyle	M	Silver	Hungary
Paris	1900	Athletics	Athletics	BAUER, Rudolf	Men	discus throw	M	Gold	Hungary
Paris	1900	Athletics	Athletics	GÖNCZY, Lajos	Men	high jump	M	Bronze	Hungary
St Louis	1904	Aquatics	Swimming	HALMAY, Zoltan	Men	100m freestyle	M	Gold	Hungary
St Louis	1904	Aquatics	Swimming	KISS, Geza	Men	1500m freestyle	M	Silver	Hungary
St Louis	1904	Aquatics	Swimming	HALMAY, Zoltan	Men	50y freestyle (45.72m)	M	Gold	Hungary
St Louis	1904	Aquatics	Swimming	KISS, Geza	Men	880y freestyle (804.66m)	M	Bronze	Hungary
London	1908	Aquatics	Swimming	HALMAY, Zoltan	Men	100m freestyle	M	Silver	Hungary
London	1908	Aquatics	Swimming	HALMAY, Zoltan	Men	4x200m freestyle relay	M	Silver	Hungary
London	1908	Aquatics	Swimming	LAS TORRES, Béla	Men	4x200m freestyle relay	M	Silver	Hungary
London	1908	Aquatics	Swimming	MUNK, Jozsef	Men	4x200m freestyle relay	M	Silver	Hungary
